,Name,/people/deceased_person/date_of_death,/people/person/gender,/people/person/age,/people/person/date_of_birth
91116,Alexander L. Kamenev,1939-07-15,Male,[],1906-01-01 00:00:00
91280,Gyula Zilahi,1938-05-16,Male,[],1859-01-22 00:00:00
91314,Emil Martonffy,1983-08-20,Male,[],1904-09-09 00:00:00
91359,Nikolai Sylbert,1983,Male,[],1983-01-01 00:00:00
91405,John James Gahan,1918-10-25,Male,[],1829-01-01 00:00:00
91415,Jerome Leland-St. John,2000-01-01,Male,[],1922-10-28 00:00:00
91639,Emile LaVigne,1990-04-12,Female,[],1913-09-17 00:00:00
91640,Karl Roy,2012-03-13,Male,[],1968-05-25 00:00:00
91642,Erkki Uotila,1975-08-31,Male,[],1904-03-28 00:00:00
91683,Kálmán Nádasdy,1980-04-17,Male,[],1904-11-25 00:00:00
91734,Miklós Pásztory,1922-05-09,Male,[],1875-11-02 00:00:00
91751,Nigel Pickering,2011-05-05,Male,[],1929-06-15 00:00:00
91752,Malcolm Hale,1968-10-30,Male,[],1941-05-17 00:00:00
91754,Paul Bach,1998-09-21,Male,[],1939-06-24 00:00:00
91755,Lefty Baker,1971-08-11,Male,[],1939-01-07 00:00:00
91802,Hugo Arturo Martinez,1976,None,[],1890-01-01 00:00:00
91811,William A. Fraker Jr,1992-09-12,Male,[],1960-07-14 00:00:00
91816,Félix Máriássy,1975-01-26,Male,[],1915-06-03 00:00:00
91832,Julius Viktor Jansson,1892,Male,[],1862-01-01 00:00:00
91833,Theresia Johanna Jansson,1938,Female,[],1864-01-01 00:00:00
91834,Frigyes Bán,1969-09-30,Male,[],1902-06-19 00:00:00
91857,Antonín Pech,1928-02-20,Male,[],1874-10-21 00:00:00
91885,Jyrki Kovaleff,2009-11-03,Male,[],1954-01-02 00:00:00
91891,Arthur Barnes,1956,Male,[],1886-01-01 00:00:00
91928,Max Urban,1959-07-17,Male,[],1882-08-24 00:00:00
92041,Lauri Lupino Lane,1986-06-04,Male,[],1921-07-26 00:00:00
92111,Werner Hochbaum,1946-04-15,Male,[],1899-03-07 00:00:00
92160,Hermann Haller,1985-06-21,Male,[],1909-12-15 00:00:00
92166,Emil Artur Longen,1936-04-24,Male,[],1885-07-29 00:00:00
92172,Zoltán Várkonyi,1979-04-10,Male,[],1912-05-13 00:00:00
92183,Al De Lory,2012-02-05,Male,[],1930-01-31 00:00:00
92189,Arthur Howes,2004,Male,[],1950-07-15 00:00:00
92199,Paul Petrov-Bytov,1960-10-26,Male,[],1895-02-23 00:00:00
92201,Fred V. Merrick,1983-12-05,Male,[],1899-04-30 00:00:00
92272,Majd al-Assad,2009,Male,[],1966-01-01 00:00:00
92319,Heinz Paul,1983-03-14,Male,[],1893-08-13 00:00:00
92377,Jack Totheroh,2011-05-20,Male,[],1914-01-01 00:00:00
